time,workers,safe,unsafe
2026-04-15 10:12:16.145649,2,2,0
2026-04-15 10:12:49.223654,14,0,14
2026-04-15 10:13:26.769561,4,1,3
2026-04-15 10:13:27.680555,4,1,3
2026-04-15 10:13:28.680160,5,1,4
2026-04-15 10:13:29.513414,5,0,5
2026-04-15 10:13:30.468197,5,0,5
2026-04-15 10:13:31.391140,5,0,5
2026-04-15 10:13:32.311445,5,0,5
2026-04-15 10:13:33.181627,5,0,5
2026-04-15 10:13:34.017452,5,0,5
2026-04-15 10:13:35.306454,5,1,4
2026-04-15 10:13:36.842846,5,1,4
2026-04-15 10:13:38.997346,6,1,5
2026-04-15 10:13:40.304335,5,1,4
2026-04-15 10:14:03.369917,2,0,2
2026-04-15 10:14:19.172992,1,0,1
2026-04-15 10:14:19.810348,2,0,2
2026-04-15 10:14:20.555350,1,0,1
2026-04-15 10:14:21.258586,1,0,1
2026-04-15 10:14:21.976182,1,0,1
2026-04-15 10:14:22.779185,1,0,1
2026-04-15 10:14:24.854951,1,0,1
2026-04-15 10:14:25.598905,1,0,1
2026-04-15 10:14:26.257950,1,0,1
2026-04-15 10:14:26.999573,1,0,1
2026-04-15 10:14:28.317380,1,0,1
2026-04-15 10:14:32.880176,1,0,1
2026-04-15 10:14:33.830477,1,0,1
2026-04-15 10:14:43.899125,1,0,1
